DCLR_RCPT_NO,DCLR_DT,DCLR_YMD,DCLR_TM,DCLR_YR,DCLR_MM,DCLR_DAY,DCLR_HR,DCLR_MN,DCLR_DOW,SEASN_NM,QTR_NO,CTPV_NM,SGG_NM,EMD_NM,CTY_FRMVL_SE_NM,EMD_SE_NM,RCPT_END_DT,RCPT_END_YMD,RCPT_END_TM,OTR_CTPV_DCLR_YN,DCLR_PSTN_LOT,DCLR_PSTN_LAT,DSPT_DRTV_DT,GRNDS_ARVL_DT,HSPTL_ARVL_DT,CBK_DT,SITTN_END_DT,FRSTN_NM,CNTR_NM,CLMTY_CTPV_NM,CLMTY_SGG_NM,CLMTY_EMD_NM,LOT,LAT
XO4510852403,20230105162156,20230105,162156,2023,1,5,16,21,목요일,겨울,1,전라북도,고창군,고창읍,농촌,읍,20230105162216,20230105,162216,N,0,0,,20230105162823,,20230105164643,20230105164753,고창소방서,고창119안전센터,전라북도,고창군,고창읍,126.688102193,35.4324643144
XO4510852352,20230105152335,20230105,152335,2023,1,5,15,23,목요일,겨울,1,전라북도,정읍시,수성동,도시,동,20230105152418,20230105,152418,N,126.8651,35.5844,,20230105152749,20230105160658,20230105164625,20230105164742,정읍소방서,하북119안전센터,전라북도,정읍시,수성동,126.8633036962,35.5834216526
XO1141416091,20230105235714,20230105,235714,2023,1,5,23,57,목요일,겨울,1,서울특별시,,,,,20230106000108,20230106,108,N,127.0156,37.5922,20230106000108,20230106001821,,20230106003108,20230106003153,서대문소방서,홍은119안전센터,서울특별시,성북구,정릉동,127.0004098613,37.608221236
XO2622794736,20230105225627,20230105,225627,2023,1,5,22,56,목요일,겨울,1,부산광역시,,,,,20230105225736,20230105,225736,N,129.0711,35.0796,20230105225736,20230105230326,,20230106000738,20230106003123,항만소방서,동삼119안전센터,부산광역시,영도구,동삼동,129.0704251896,35.0793397764
XO4711025382,20230105125318,20230105,125318,2023,1,5,12,53,목요일,겨울,1,경상북도,문경시,산북면,농촌,면,20230105125330,20230105,125330,N,128.2618,36.657,,,,,20230105164854,문경소방서,점촌119안전센터,경상북도,문경시,산북면,128.2617950443,36.6570396422
XO3103704057,20230105043331,20230105,43331,2023,1,5,4,33,목요일,겨울,1,울산광역시,동구,화정동,도시,동,20230105043457,20230105,43457,N,129.4226,35.4846,,20230105043959,20230105045534,20230105051517,20230105051816,동부소방서,화암119안전센터,울산광역시,동구,방어동,129.4229349963,35.4846003357
XO4208254695,20230106001757,20230106,1757,2023,1,6,0,17,금요일,겨울,1,강원도,강릉시,옥천동,도시,동,20230106001850,20230106,1850,N,128.907,37.76,,,,20230106002620,20230106003255,강릉소방서,옥천119안전센터,강원도,강릉시,입암동,128.9135436876,37.7613051862
XO4136457900,20230106000200,20230106,200,2023,1,6,0,2,금요일,겨울,1,경기도,,,,,20230106000222,20230106,222,N,126.8325,37.6327,,20230106001311,,20230106003043,20230106003249,고양소방서,원당119안전센터,경기도,고양시 덕양구,화정동,126.8325000004,37.6327000001
XO4136457919,20230106002700,20230106,2700,2023,1,6,0,27,금요일,겨울,1,경기도,,,,,20230106002722,20230106,2722,N,126.7897,37.6398,,,,20230106002906,20230106003235,일산소방서,백석119안전센터,경기도,고양시 일산동구,백석동,126.7897000003,37.6397800003
XO4115321261,20230105130500,20230105,130500,2023,1,5,13,5,목요일,겨울,1,경기도,,,,,20230105130536,20230105,130536,N,126.5049,37.7435,,20230105131533,,20230105130625,20230105135623,김포소방서,통진119안전센터,경기도,김포시,월곶면,126.5300198308,37.7303564792
