DCLR_RCPT_NO,DCLR_DT,DCLR_YMD,DCLR_TM,DCLR_YR,DCLR_MM,DCLR_DAY,DCLR_HR,DCLR_MN,DCLR_DOW,SEASN_NM,QTR_NO,CTPV_NM,SGG_NM,EMD_NM,CTY_FRMVL_SE_NM,EMD_SE_NM,RCPT_END_DT,RCPT_END_YMD,RCPT_END_TM,OTR_CTPV_DCLR_YN,DCLR_PSTN_LOT,DCLR_PSTN_LAT,DSPT_DRTV_DT,GRNDS_ARVL_DT,HSPTL_ARVL_DT,CBK_DT,SITTN_END_DT,FRSTN_NM,CNTR_NM,CLMTY_CTPV_NM,CLMTY_SGG_NM,CLMTY_EMD_NM,LOT,LAT
XO4411731046,20230105090503,20230105,90503,2023,1,5,9,5,목요일,겨울,1,충청남도,당진시,송악읍,농촌,읍,20230105090550,20230105,90550,N,126.7426,36.8722,,20230105091904,20230105093941,20230105100418,20230105100456,당진소방서,송악119안전센터,충청남도,당진시,송악읍,126.730119921,36.8780880427
XO2816964740,20230105082212,20230105,82212,2023,1,5,8,22,목요일,겨울,1,인천광역시,중구,남북동,도시,동,20230105082258,20230105,82258,N,126.4193,37.4496,20230105082258,20230105084509,,20230105085551,20230105085553,영종소방서,용유119안전센터,인천광역시,중구,남북동,126.4192909995,37.4495920002
XO4208253631,20230105081315,20230105,81315,2023,1,5,8,13,목요일,겨울,1,강원도,,,,,20230105081421,20230105,81421,N,128.8492,37.822,,20230105082547,20230105083659,20230105085541,20230105085617,강릉소방서,경포119안전센터,강원도,강릉시,사천면,128.8491579995,37.8220439995
XO4610258949,20230105073440,20230105,73440,2023,1,5,7,34,목요일,겨울,1,전라남도,해남군,송지면,농촌,면,20230105073645,20230105,73645,N,126.5501,34.3725,,20230105074702,20230105082024,20230105085301,20230105085625,해남소방서,땅끝119안전센터,전라남도,해남군,송지면,126.5002604624,34.389617578
XO2622793285,20230105083228,20230105,83228,2023,1,5,8,32,목요일,겨울,1,부산광역시,남구,문현동,도시,동,20230105083329,20230105,83329,N,0,0,20230105083329,,,20230105084547,20230105085639,부산진소방서,범일119안전센터,부산광역시,남구,문현동,129.0683889925,35.1379351435
XO2622793288,20230105083322,20230105,83322,2023,1,5,8,33,목요일,겨울,1,부산광역시,남구,문현동,도시,동,20230105083414,20230105,83414,N,129.0681,35.1378,20230105083329,,,20230105084547,20230105085639,부산진소방서,범일119안전센터,부산광역시,남구,문현동,129.0683889925,35.1379351435
XO2622793292,20230105083613,20230105,83613,2023,1,5,8,36,목요일,겨울,1,부산광역시,남구,문현동,도시,동,20230105083654,20230105,83654,N,129.069,35.138,20230105083329,,,20230105084547,20230105085639,부산진소방서,범일119안전센터,부산광역시,남구,문현동,129.0683889925,35.1379351435
XO2622793297,20230105083813,20230105,83813,2023,1,5,8,38,목요일,겨울,1,부산광역시,남구,문현동,도시,동,20230105083907,20230105,83907,N,129.0683,35.1397,20230105083329,,,20230105084547,20230105085639,부산진소방서,범일119안전센터,부산광역시,남구,문현동,129.0683889925,35.1379351435
XO4809643996,20230105081811,20230105,81811,2023,1,5,8,18,목요일,겨울,1,경상남도,,,,,20230105081952,20230105,81952,N,128.6013,34.8787,,,,20230105084634,20230105085648,거제소방서,신현119안전센터,경상남도,거제시,장평동,128.6018061867,34.899691855
XO4208253624,20230105080934,20230105,80934,2023,1,5,8,9,목요일,겨울,1,강원도,강릉시,입암동,도시,동,20230105081016,20230105,81016,N,128.9198,37.7557,,20230105081837,20230105084144,20230105085630,20230105085714,강릉소방서,옥천119안전센터,강원도,강릉시,입암동,128.9204182684,37.7559871068
XO4136456764,20230105075051,20230105,75051,2023,1,5,7,50,목요일,겨울,1,경기도,,,,,20230105075224,20230105,75224,N,126.7942,37.6629,,20230105075703,20230105081346,20230105084618,20230105085801,일산소방서,풍동119안전센터,경기도,고양시 일산동구,풍동,126.7952189653,37.6647682616
XO4411731150,20230105100700,20230105,100700,2023,1,5,10,7,목요일,겨울,1,충청남도,부여군,규암면,농촌,면,20230105100714,20230105,100714,N,0,0,,20230105100820,,20230105112046,20230105112056,부여소방서,백제119안전센터,충청남도,부여군,규암면,126.8822455335,36.2749674596
XO1141412909,20230105095343,20230105,95343,2023,1,5,9,53,목요일,겨울,1,서울특별시,,,,,20230105095439,20230105,95439,N,127.0246,37.6328,20230105095439,20230105100310,,20230105111850,20230105112102,강북소방서,미아119안전센터,서울특별시,강북구,미아동,127.0243356322,37.6337423457
XO4711025110,20230105100313,20230105,100313,2023,1,5,10,3,목요일,겨울,1,경상북도,문경시,산북면,농촌,면,20230105100329,20230105,100329,N,0,0,,,,,20230105112104,문경소방서,점촌119안전센터,경상북도,문경시,산북면,128.2653164651,36.6562169891
XO4809644196,20230105105228,20230105,105228,2023,1,5,10,52,목요일,겨울,1,경상남도,양산시,물금읍,농촌,읍,20230105105255,20230105,105255,N,0,0,,,,20230105110846,20230105112104,양산소방서,물금119안전센터,경상남도,양산시,물금읍,129.0061446657,35.3092126606
XO4711025197,20230105104335,20230105,104335,2023,1,5,10,43,목요일,겨울,1,경상북도,경주시,진현동,도시,동,20230105104351,20230105,104351,N,0,0,,,,20230105112001,20230105112114,경주소방서,불국사119안전센터,경상북도,경주시,진현동,129.3280773266,35.786242445
XO2816965934,20230106012947,20230106,12947,2023,1,6,1,29,금요일,겨울,1,인천광역시,,,,,20230106013124,20230106,13124,N,0,0,20230106013123,20230106013506,20230106013507,20230106013509,20230106013512,남동소방서,간석119안전센터,인천광역시,남동구,간석동,126.7157525698,37.4663715055
XO1141416299,20230106010324,20230106,10324,2023,1,6,1,3,금요일,겨울,1,서울특별시,,,,,20230106010514,20230106,10514,N,127.0705,37.5407,20230106010515,20230106011759,,20230106012812,20230106013452,광진소방서,능동119안전센터,서울특별시,광진구,화양동,127.070140184,37.5411761477
XO4115323257,20230105232016,20230105,232016,2023,1,5,23,20,목요일,겨울,1,경기도,용인시 처인구,역북동,도시,동,20230105232142,20230105,232142,N,127.1923,37.2363,,20230105232717,20230106002537,20230106000056,20230106013439,용인소방서,역북119안전센터,경기도,용인시 처인구,역북동,127.1923370484,37.2364159615
